"CountyName","RegionName","PrecinctName","Black.AA","White","Asian","Hispanic","Native.American","Multiple","Other","Unknown","DemPct","RepPct","NonPct","DemVotes","RepVotes","NonVotes"
"ABBEVILLE","Upstate","ABBEVILLE NO. 1",367,1176,4,5,0,2,1,1,0.3185,0.6815,0,214,458,0
"ABBEVILLE","Upstate","ABBEVILLE NO. 2",974,515,0,2,1,0,6,0,0.6185,0.3815,0,308,190,0
"ABBEVILLE","Upstate","ABBEVILLE NO. 3",541,730,6,4,0,0,5,0,0.4936,0.5064,0,231,237,0
"ABBEVILLE","Upstate","ABBEVILLE NO. 4",276,530,0,2,0,0,5,0,0.2805,0.7195,0,99,254,0
"ABBEVILLE","Upstate","ANTREVILLE",122,923,1,4,1,0,1,0,0.2231,0.775,0.0019,118,410,1
"ABBEVILLE","Upstate","BROADMOUTH",74,385,0,5,0,0,0,0,0.2731,0.7269,0,59,157,0
"ABBEVILLE","Upstate","CALHOUN FALLS",806,812,1,11,1,6,8,0,0.5807,0.4193,0,439,317,0
"ABBEVILLE","Upstate","COLD SPRINGS",100,679,4,6,0,0,0,0,0.2144,0.7792,0.0064,101,367,3
"ABBEVILLE","Upstate","DONALD'S",35,454,0,6,0,1,2,0,0.1794,0.8168,0.0038,47,214,1
"ABBEVILLE","Upstate","DUE WEST",329,1075,1,2,1,0,3,0,0.3564,0.6436,0,237,428,0
"ABBEVILLE","Upstate","HALL'S STORE",169,462,2,2,0,0,1,0,0.3238,0.6734,0.0029,113,235,1
"ABBEVILLE","Upstate","KEOWEE",137,860,1,0,2,0,4,0,0.211,0.789,0,107,400,0
"ABBEVILLE","Upstate","LOWNDESVILLE",86,876,2,2,2,0,1,0,0.194,0.806,0,97,403,0
"ABBEVILLE","Upstate","LEBANON",165,569,0,0,0,0,3,0,0.2692,0.7282,0.0026,105,284,1
"ABBEVILLE","Upstate","SMITHVILLE",179,611,4,13,0,0,2,0,0.2734,0.7266,0,111,295,0
"AIKEN","Midlands","AIKEN NO. 1",31,1227,3,8,3,2,5,0,0.3429,0.6554,0.0016,214,409,1
"AIKEN","Midlands","AIKEN NO. 2",766,406,3,13,1,1,6,3,0.7665,0.2335,0,325,99,0
"AIKEN","Midlands","AIKEN NO. 3",1313,299,6,29,5,5,13,3,0.8593,0.1407,0,452,74,0
"AIKEN","Midlands","AIKEN NO. 4",572,168,3,13,2,0,7,1,0.8699,0.1301,0,214,32,0
"AIKEN","Midlands","AIKEN NO. 5",480,763,11,4,0,3,5,1,0.623,0.375,0.002,309,186,1
"AIKEN","Midlands","AIKEN NO. 6",24,1216,8,5,1,1,5,1,0.3847,0.6153,0,237,379,0
"AIKEN","Midlands","BATH",295,486,1,10,0,0,1,1,0.4671,0.5299,0.003,156,177,1
"AIKEN","Midlands","BEECH ISLAND",805,728,1,27,2,6,5,0,0.5388,0.4612,0,375,321,0
"AIKEN","Midlands","BELVEDERE NO. 9",697,993,7,29,4,2,21,3,0.5,0.4984,0.0016,320,319,1
"AIKEN","Midlands","CAROLINA HEIGHTS",635,439,6,38,3,1,10,0,0.6931,0.3048,0.0021,332,146,1
"AIKEN","Midlands","CHINA SPRINGS",1011,537,7,17,2,4,8,2,0.689,0.311,0,390,176,0
"AIKEN","Midlands","CLEARWATER",260,371,1,22,4,2,4,0,0.434,0.566,0,115,150,0
"AIKEN","Midlands","COLLEGE ACRES",215,1421,21,41,5,3,8,0,0.3095,0.6892,0.0013,238,530,1
"AIKEN","Midlands","EUREKA",258,1136,0,40,4,2,2,0,0.2588,0.7412,0,155,444,0
"AIKEN","Midlands","GLOVERVILLE",136,732,4,11,1,1,3,0,0.2612,0.7388,0,122,345,0
"AIKEN","Midlands","GRANITEVILLE",377,650,2,25,3,0,3,2,0.341,0.6567,0.0023,148,285,1
"AIKEN","Midlands","JACKSON",205,1272,7,15,4,0,3,0,0.2133,0.7853,0.0013,160,589,1
"AIKEN","Midlands","LANGLEY",220,966,3,14,7,1,3,0,0.2645,0.7355,0,132,367,0
"AIKEN","Midlands","LYNWOOD",139,665,8,24,2,1,3,1,0.2463,0.7537,0,100,306,0
"AIKEN","Midlands","MILLBROOK",292,1532,20,21,1,3,10,1,0.3432,0.6568,0,290,555,0
